ricoId,definition
rico:hasOrHadDerivedInstantiation,"Connects an instantiation to an instantiation that is derived from it, whether it exists or has been lost or destroyed."
rico:hasOrHadDigitalInstantiation,"Connects a record resource to one of its digital instantiations, whether it exists or has been lost or destroyed."
rico:hasOrHadEmployer,Inverse of 'is or was employer of' object property.
rico:hasOrHadHolder,Inverse of 'is or was holder of' object property.
rico:hasOrHadIdentifier,Connects a Thing to one of its past or present Identifiers.
rico:hasOrHadInstantiation,"Connects a Record Resource to an Instantiation, which either may exist or may have been lost or destroyed."
rico:hasOrHadIntellectualPropertyRightsHolder,Inverse of 'is or was holder of intellectual property rights of' object property.
rico:hasOrHadJurisdiction,Inverse of 'is or was jurisdiction of' object property.
rico:hasOrHadLanguage,"Connects an Agent, Record or Record Part to a Language that uses or used it."
rico:hasOrHadLeader,Inverse of 'is or was leader of' object property.
rico:hasOrHadLegalStatus,Connects an Agent or Record Resource to a Legal Status which categorized or categorizes it.
rico:hasOrHadLocation,Inverse of 'is or was location of' object property.
rico:hasOrHadMainSubject,Connects a Record Resource to a Thing that is or was its main subject.
rico:hasOrHadManager,Inverse of 'is or was manager of' object property.
rico:hasOrHadMandateType,Connects a Mandate to a Mandate Type that categorized or categorizes it.
rico:hasOrHadMember,Connects a Group to a Person that is or was a member of that Group.
rico:hasOrHadMostMembersWithCreationDate,Inverse of 'is or was creation date of most members of' object property
rico:hasOrHadName,Connects a Thing to one of its past or present Names.
rico:hasOrHadOccupationOfType,"Connects a Person to an Occupation Type that categorized or categorizes his/her occupation (profession, trade or craft)."
rico:hasOrHadOwner,Inverse of 'is or was owner of' object property.
rico:hasOrHadPart,Connects a Thing to a constitutive or component part of that Thing.
rico:hasOrHadParticipant,Connects an Event to a Thing that is or was actively or passively involved in it.
rico:hasOrHadPhysicalLocation,Connects a Place to one of its past or present Physical Location.
rico:hasOrHadPlaceName,Connects a Place to one of its past or present names.
rico:hasOrHadPlaceType,Connects a Place to a Place Type that categorized or categorizes it.
rico:hasOrHadPosition,Inverse of 'exists or existed in' object property.
rico:hasOrHadRuleType,Connects a Rule to a Rule Type that categorized or categorizes it.
rico:hasOrHadSomeMembersWithCategory,Connects a Record Set and a Category (Type) to which some of the Records or Record Parts that are or were included in the Record Set belong.
rico:hasOrHadSomeMembersWithContentType,Connects a Record Set and a Content Type that categorizes some of the Records or Record Parts that are or were included in the Record Set.
rico:hasOrHadSomeMembersWithCreationDate,Inverse of 'is or was creation date of some members of' object property
rico:hasOrHadSomeMembersWithDocumentaryFormType,Connects a Record Set and a Documentary Form Type that categorizes some of the Records or Record Parts that are or were included in the Record Set.
rico:hasOrHadSomeMembersWithLanguage,Connects a Record Set and a Language used by some of the Records or Record Parts that are or were included in the Record Set.
rico:hasOrHadSomeMembersWithLegalStatus,Connects a Record Set and a Legal Status that categorizes some of the Records or Record Parts that are or were included in the Record Set.
rico:hasOrHadSomeMembersWithRecordState,Connects a Record Set and a Record State that categorizes some of the Records or Record Parts that are or were included in the Record Set.
rico:hasOrHadSpouse,Connects two Persons who are or were married. This relation is symmetric.
rico:hasOrHadStudent,Inverse of 'has or had teacher' object property.
rico:hasOrHadSubdivision,Connects a Group to one of its present or past subdivisions.
rico:hasOrHadSubevent,"Connects an Event to one of a series of Events that constitute the original, broader, past or ongoing Event."
rico:hasOrHadSubject,Connects a Record Resource to a Thing that is or was its subject.
rico:hasOrHadSubordinate,Connects an Agent to an Agent that is hierarchically inferior.
rico:hasOrHadTeacher,Connects a Person to another Person who is or was their teacher.
rico:hasOrHadTitle,"Connects a Record Resource, Instantiation or Rule to a title that is or was used for designating it."
rico:hasOrHadWorkRelationWith,Connects two Agents that have or had some type of work relation in the course of their activities. This relation is symmetric.
rico:hasOrganicOrFunctionalProvenance,"Connects a Record Resource or an Instantiation to an Agent that creates or accumulates it, receives it, or sends it, or to an Activity that generates it."
rico:hasOrganicProvenance,"Connects a Record Resource or an Instantiation to an Agent that creates or accumulates the Record Resource, receives it, or sends it."
rico:hasOriginal,Inverse of 'is original of' object property.
rico:hasPartTransitive,"Connects a Thing to a Thing that is, directly or indirectly, a constitutive or component part of that Thing. This is a transitive relation."
rico:hasProductionTechniqueType,Connects an Instantiation to a Production Technique Type that categorizes its production technique.
rico:hasPublicationDate,Inverse of 'is publication date of' object property
rico:hasPublisher,Connects a Record resource to an Agent who published it.
rico:hasReceiver,Connects a Record Resource or an Instantiation to the Agent that receives it in the course of the Agent's activities.
rico:hasRecordSetType,Connects a Record Set to a Record Set Type that categorizes it.
rico:hasRecordState,Connects a Record or Record Part to a Record State that categorizes its state.
rico:hasReply,"Connects a Record Resource to a reply, usually in the form of correspondence."
rico:hasRepresentationType,Connects an Instantiation to a Representation Type that categorizes its representation type.
rico:hasSender,Connects a Record Resource or an Instantiation to the Agent that sends it
rico:hasSibling,Connects two Persons who are siblings. This relation is symmetric.
rico:hasSubdivisionTransitive,Connects a Group to another Group that is one of its direct or indirect subdivisions. This is a transitive relation.
rico:hasSubeventTransitive,"Connects an ongoing Event to one of a series of Events that directly or indirectly constitute that broader, ongoing Event. This is a transitive relation."
rico:hasSubordinateTransitive,Connects an Agent to an Agent that is directly or indirectly hierarchically inferior. This is a transitive relation.
rico:hasSuccessor,Connects an Agent to another Agent that succeeds it chronologically.
rico:hasUnitOfMeasurement,Connects an Extent to a Unit Of Measurement
rico:hasWithin,Inverse of 'is within' object property
rico:included,Connects a Record Set to a Record or Record Set which it included in the past.
rico:includesOrIncluded,"Connects a Record Set to a Record or Record Set it aggregates, or aggregated in the past."
rico:includesTransitive,Connects a Record Set to a Record or Record Set which it includes directly or indirectly. This is a transitive relation.
rico:instantiationToInstantiationRelation_role,"Connects an InstantiationToInstantiationRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:intellectualPropertyRightsRelation_role,"Connects an IntellectualPropertyRightsRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:intersects,Connects two Dates that overlap. This relation is symmetric.
rico:isAccumulatorOf,Inverse of 'has accumulator' object property.
rico:isActivityTypeOf,Connects an Activity Type to an Activity that it categorizes.
rico:isAddresseeOf,Inverse of 'has addressee' object property.
rico:isAgentAssociatedWithAgent,Connects two Agents. This object property is symmetric.
rico:isAgentAssociatedWithPlace,Inverse of 'is place associated with agent' object property.
rico:isAssociatedWithDate,Inverse of 'is date associated with' object property.
rico:isAssociatedWithEvent,Inverse of 'is event associated with' object property.
rico:isAssociatedWithPlace,Inverse of 'is place associated with' object property.
rico:isAssociatedWithRule,Inverse of 'is rule associated with' object property.
rico:isAuthorOf,Inverse of 'has author' object property.
rico:isAuthorizingAgentInMandateRelation,"Connects an Agent that assigns the Mandate, to a Mandate Relation."
rico:isBeginningDateOf,Connects a Date to a Thing that came into existence on that Date.
rico:isBirthDateOf,Connects a Date to a Person that was born on that Date.
rico:isBirthPlaceOf,Connects a Place to a Person who was born in that Place.
rico:isCarrierTypeOf,Connects a Carrier Type to an Instantiation whose carrier it categorizes.
rico:isChildOf,Inverse of 'has child' object property.
rico:isCollectorOf,Inverse of 'has collector' object property.
rico:isComponentOfTransitive,"Connects an Instantiation to another Instantiation of which it is, directly or indirectly, a component. This is a transitive relation."
rico:isConstituentOfTransitive,"Connects a Record or Record Part to another Record or Record Part of which it is a constituent, directly or indirectly. This is a transitive relation."
rico:isContainedByTransitive,"Connects a Place to a Place that is, directly or indirectly, contained by it. This is a transitive relation."
rico:isContentTypeOf,Connects a Content Type to a Record or Record Part whose content it categorizes.
rico:isCopyOf,Inverse of 'has copy' object property.
rico:isCreationDateOf,Connects a Date to a Record Resource or Instantiation that was created at this Date.
rico:isCreatorOf,Inverse of 'has creator' object property.
rico:isDateAssociatedWith,Connects a Date to a Thing with whose existence and lifecycle the Date is associated.
rico:isDateOfOccurrenceOf,"Connects a Date to an Event that occurred at this Date. An event or activity can be recurrent, which implies that one single event can be related to several dates."
rico:isDateTypeOf,Connects a Date Type to a Date that it categorizes.
rico:isDeathDateOf,Connects a Date to a Person who died on that Date.
rico:isDeathPlaceOf,Connects a Place to a Person who died in that Place.
rico:isDestructionDateOf,Connects a Date to a Thing that was destructed at that Date.
rico:isDirectComponentOf,Connects an Instantiation to another Instantiation of which it is a direct component.
rico:isDirectConstituentOf,Connects a Record or Record Part to another Record or Record Part of which it is a direct constituent.
rico:isDirectPartOf,Connects a Thing to a Thing of which it is direct constitutive or component part.
rico:isDirectSubdivisionOf,Connects a Group to the Group it is a direct subdivision of.
rico:isDirectSubeventOf,Connects an ongoing Event to the Event it is a direct part of.
rico:isDirectSubordinateTo,Connects an Agent to an Agent that is directly hierarchically superior.
rico:isDirectlyContainedBy,Connects a Place to a Place that directly contains it.
rico:isDirectlyIncludedIn,Connects a Record to a Record or Record Set in which it is directly included.
rico:isDocumentaryFormTypeOf,Connects a Documentary Form Type to a Record or Record Part that it categorizes.
rico:isDraftOf,Connects a draft to the final version of a Record.
rico:isEndDateOf,Connects a Date to a Thing whose existence ended on that Date.
rico:isEquivalentTo,Connects two Things that are considered equivalent.
rico:isEventAssociatedWith,Connects an Event to a Thing that is associated with the existence and lifecycle of the Event.
rico:isEventTypeOf,Connects an Event Type to an Event that it categorizes.
rico:isEvidencedBy,Connects a Relation to a Record Resource that is used for proving is existence or describing it.
rico:isExtentOf,Connects an Extent to a Thing
rico:isExtentTypeOf,Connects an Extent Type to an Extent that it categorizes.
rico:isFamilyTypeOf,Connects a Family Type to a Family that it categorizes.
rico:isFromUseDateOf,"Connects a Date to an Appellation, when it is the date at which the Appellation was first used."
rico:isFunctionallyEquivalentTo,Connects two Instantiations which may be considered as equivalent. This relation is symmetric.
rico:isIdentifierTypeOf,Connects an Identifier Type and an Identifier that it categorizes.
rico:isIncludedInTransitive,Connects a Record to a Record or Record Set in which it is directly or indirectly included. This is a transitive relation.
rico:isInstantiationAssociatedWithInstantiation,Connects two Instantiations. This relation is symmetric.
rico:isLastUpdateDateOf,Connects a Date and a Thing that was last modified at this Date.
rico:isModificationDateOf,Connects a Date to a Thing that was modified on that Date.
rico:isOrWasAdjacentTo,Connects two Places that are or were geographically adjacent. This relation is symmetric.
rico:isOrWasAffectedBy,Inverse of 'affects or affected' object property.
rico:isOrWasAgentNameOf,Connects an Agent Name to an Agent it designates or designated.
rico:isOrWasAnalogueInstantiationOf,Inverse of 'has or had analogue instantiation' object property.
rico:isOrWasAppellationOf,Connects an Appellation to a Thing that it designates or designated.
rico:isOrWasCategoryOf,Connects a Type (a category) to a Thing that it categorizes or categorized.
rico:isOrWasCategoryOfAllMembersOf,Connects a Category (Type) and a Record Set whose all present or past Record or Record Part members belong to that Category.
rico:isOrWasCategoryOfSomeMembersOf,Connects a Category (Type) and a Record Set whose some present or past Record or Record Part members belong to that Category.
rico:isOrWasComponentOf,Inverse of 'has or had component' object property.
rico:isOrWasConstituentOf,Inverse of 'has or had constituent' object property.
rico:isOrWasContainedBy,Inverse of 'contains or contained' object property.
rico:isOrWasContentTypeOfAllMembersOf,Connects a Content Type and a Record Set whose all past or present Record or Record Part members have that Content Type.
rico:isOrWasContentTypeOfSomeMembersOf,Connects a Content Type and a Record Set whose some past or present Record or Record Part members have that Content Type.
rico:isOrWasControllerOf,Connects an Agent to another Agent it controls or controlled.
rico:isOrWasCoordinatesOf,"Connects an instance of Coordinates to a Physical Location it locates or located on earth, according to some reference system."
rico:isOrWasCorporateBodyTypeOf,Connects a Corporate Body Type to a Corporate Body that it categorizes or categorized.
rico:isOrWasCreationDateOfAllMembersOf,Connects a Date to a Record Set all of whose present or past members were created at this Date.
rico:isOrWasCreationDateOfMostMembersOf,Connects a Date to a Record Set most of whose present or past members were created at this Date.
rico:isOrWasCreationDateOfSomeMembersOf,Connects a Date to a Record Set some of whose present or past members were created at this Date.
rico:isOrWasDemographicGroupOf,Connects a Demographic Group to a Person or Group which belongs or belonged to it.
rico:isOrWasDerivedFromInstantiation,Inverse of 'has or had derived instantiation' object property.
rico:isOrWasDescribedBy,Inverse of 'describes or described' object property.
rico:isOrWasDigitalInstantiationOf,Inverse of 'has or had digital instantiation' object property.
rico:isOrWasDocumentaryFormTypeOfAllMembersOf,Connects a Documentary Form Type and a Record Set whose all past or present Record or Record Part members have that Documentary Form Type.
rico:isOrWasDocumentaryFormTypeOfSomeMembersOf,Connects a Documentary Form Type and a Record Set whose some past or present Record or Record Part members have that Documentary Form Type.
rico:isOrWasEmployerOf,Connects a Corporate Body or a Person to a Person who is or was their employee.
rico:isOrWasEnforcedBy,Connects a Rule to an Agent that enforces or enforced the Rule.
rico:isOrWasExpressedBy,Connects a Rule to a Record Resource that expresses or expressed the Rule.
rico:isOrWasHolderOf,Connects an Agent to a Record Resource or Instantiation that the Agent holds or held.
rico:isOrWasHolderOfIntellectualPropertyRightsOf,Connects an Agent to a Record Resource or Instantiation on which the Agent has or had some intellectual property rights.
rico:isOrWasIdentifierOf,Connects an Identifier to a Thing that it identified or identifies.
rico:isOrWasIncludedIn,Inverse of 'includes or included' object property.
rico:isOrWasInstantiationOf,Inverse of 'has or had instantiation' object property.
rico:isOrWasJurisdictionOf,Connects a Place to an Agent that has or had jurisdiction over the Place.
rico:isOrWasLanguageOf,"Connects a Language to an Agent, Record or Record Part that uses or used it."
rico:isOrWasLanguageOfAllMembersOf,Connects a Language and a Record Set whose all present or past Record or Record Part members use that Language.
rico:isOrWasLanguageOfSomeMembersOf,Connects a Language and a Record Set whose some present or past Record or Record Part members use that Language.
rico:isOrWasLeaderOf,Connects a Person to the Group that Person leads or led in the past.
rico:isOrWasLegalStatusOf,Connects a Legal Status to an Agent or Record Resource that it categorizes.
rico:isOrWasLegalStatusOfAllMembersOf,Connects a Legal Status and a Record Set whose all past or present Record or Record Part members have that Legal Status.
rico:isOrWasLegalStatusOfSomeMembersOf,Connects a Legal Status and a Record Set whose some past or present Record or Record Part members have that Legal Status.
rico:isOrWasLocationOf,Connects a Place to a Thing that is or was located in the Place.
rico:isOrWasLocationOfAgent,Connects a Place to an Agent that is or was located in this Place.
rico:isOrWasMainSubjectOf,Inverse of 'has or had main subject' object property.
rico:isOrWasManagerOf,Connects an Agent to a Record Resource or Instantiation that the Agent managed or manages.
rico:isOrWasMandateTypeOf,Connects a Mandate Type to a Mandate that it categorized or categorizes.
rico:isOrWasMemberOf,Inverse of 'has or had member' object property.
rico:isOrWasNameOf,Connects a Name to a Thing that it designated or designates.
rico:isOrWasOccupationTypeOf,Connects an Occupation Type to a Person whose occupation is or was categorized by it.
rico:isOrWasOccupiedBy,Inverse of 'occupies or occupied' object property.
rico:isOrWasOwnerOf,"Connects a Group, Person or Position to a Thing that this Agent owns or owned."
rico:isOrWasPartOf,Inverse of 'has or had part' relation.
rico:isOrWasParticipantIn,Inverse of 'has or had participant' object property.
rico:isOrWasPerformedBy,Connects an Activity to an Agent that performed or performs the Activity.
rico:isOrWasPhysicalLocationOf,"Connects a Physical Location to a Place, when it is or was its location."
rico:isOrWasPlaceNameOf,Connects a Place Name to a Place that was or is designated by it.
rico:isOrWasPlaceTypeOf,Connects a Place Type to a Place that is or was categorized by it.
rico:isOrWasRecordStateOfAllMembersOf,Connects a Record State and a Record Set whose all past or present Record or Record Part members have that Record State.
rico:isOrWasRecordStateOfSomeMembersOf,Connects a Record State and a Record Set whose some past or present Record or Record Part members have that Record State.
rico:isOrWasRegulatedBy,Inverse of the 'regulates or regulated' object property.
rico:isOrWasResponsibleForEnforcing,Inverse of 'is or was enforced by' object property.
rico:isOrWasRuleTypeOf,Connects a Rule Type to a Rule that it categorized or categorizes.
rico:isOrWasSubdivisionOf,Inverse of 'has or had subdivision' object property.
rico:isOrWasSubeventOf,Inverse of 'has or had subevent' object property.
rico:isOrWasSubjectOf,Inverse of 'has or had subject' object property.
rico:isOrWasSubordinateTo,Inverse of 'has or had subordinate' object property.
rico:isOrWasTitleOf,"Connects a Title to a Record Resource, Instantiation or Rule that it designated or designates."
rico:isOrWasUnderAuthorityOf,Inverse of 'has or had authority over' object property.
rico:isOrganicOrFunctionalProvenanceOf,Inverse of 'has organic or functional provenance' object property.
rico:isOrganicProvenanceOf,Inverse of 'has organic provenance' object property.
rico:isOriginalOf,Connects the original version of a Record to a copy or a later version.
rico:isPartOfTransitive,"Connects a Thing to a Thing of which it is a a constitutive or component part, directly or indirectly. This is a transitive relation."
rico:isPlaceAssociatedWith,Connects a Place to a Thing with whose existence and lifecycle the Place is associated.
rico:isPlaceAssociatedWithAgent,Connects a Place to an Agent which is related to that Place.
rico:isProductionTechniqueTypeOf,Connects a Production Technique Type to an Instantiation whose production technique is categorized by it.
rico:isPublicationDateOf,Connects a Date to a Record Resource that was made public at this Date.
rico:isPublisherOf,Connects an Agent to a Record Resource that it published.
rico:isReceiverOf,Inverse of 'received by' object property.
rico:isRecordResourceAssociatedWithRecordResource,Connects two Record Resources. This relation is symmetric.
rico:isRecordSetTypeOf,Connects a Record Set Type to a Record Set that it categorizes.
rico:isRecordStateOf,Connects a Record State to a Record or Record Part whose state it categorizes.
rico:isRelatedTo,"The most generic relation, is related to, connects any Thing to any other Thing. This relation is symmetric."
rico:isReplyTo,Inverse of 'has reply' object property.
rico:isRepresentationTypeOf,Connects a Representation Type to an Instantiation that it categorizes.
rico:isResponsibleForIssuing,Inverse of 'issued by' object property.
rico:isRuleAssociatedWith,Connects a Rule to a Thing that is associated with the Rule.
rico:isSenderOf,Inverse of 'has sender' object property.
rico:isSubdivisionOfTransitive,Connects a Group to the Group it is a direct or indirect subdivision of. This is a transitive relation.
rico:isSubeventOfTransitive,Connects an ongoing Event to an Event of which it is a direct or indirect part. This is a transitive relation.
rico:isSubordinateToTransitive,Connects an Agent to an Agent that is directly or indirectly hierarchically superior. This is a transitive relation.
rico:isSuccessorOf,Inverse of 'has successor' object property.
rico:isToUseDateOf,"Connects a Date to an Appellation, when it is the date till which the Appellation was used."
rico:isUnitOfMeasurementOf,Inverse of 'has unit of measurement' object property
rico:isWithin,Connects a Date to a Date in which it is contained.
rico:issuedBy,Connects a Rule to the Agent that issued or published the Rule.
rico:knowingOfRelation_role,"Connects a KnowingOfRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:knowingRelation_role,"Connects a KnowingRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:knownBy,Inverse of 'knows of' object property.
rico:knows,Connects two Persons that directly know each other during their existence. This relation is symmetric.
rico:knowsOf,Connects a Person to another Person they have some knowledge of through time or space.
rico:leadershipRelation_role,"Connects a LeadershipRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:leadershipWithPosition,Connects a Leadership Relation to the Position occupied by the leading Person.
rico:managementRelation_role,"Connects a ManagementRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:mandateRelation_role,"Connects a MandateRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:membershipRelation_role,"Connects a MembershipRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:membershipWithPosition,Connects a Membership Relation to the Position occupied by the member Person(s).
rico:migratedFrom,Inverse of 'migrated into' object property.
rico:migratedInto,Connects an Instantiation to a version it has been migrated into.
rico:migrationRelation_role,"Connects a MigrationRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:occupiesOrOccupied,Connects a Person to a Position they occupy or occupied.
rico:occurredAtDate,Inverse of 'is date of occurrence of' object property
rico:organicOrFunctionalProvenanceRelation_role,"Connects an OrganicOrFunctionalProvenanceRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:organicProvenanceRelation_role,"Connects an OrganicProvenanceRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:overlapsOrOverlapped,Connects two Places that geographically overlap or overlapped. This relation is symmetric.
rico:ownershipRelation_role,"Connects an OwnershipRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:performanceRelation_role,"Connects a PerformanceRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:performsOrPerformed,Inverse of 'is or was performed by' object property.
rico:placeRelation_role,"Connects a PlaceRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:positionHoldingRelation_role,"Connects a PositionHoldingRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:positionIsContextOfLeadershipRelation,Connects a Position to a Leadership Relation (the leading Person occupies that Position).
rico:positionIsContextOfMembershipRelation,Connects a Position to a Membership Relation (the member Person occupies that Position).
rico:positionToGroupRelation_role,"Connects a PositionToGroupRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:precededInSequence,Connects a Thing to a Thing that followed it in some non chronological sequence in the past.
rico:precedesInSequenceTransitive,Connects a Thing to a Thing that follows it directly or indirectly in some non chronological sequence. This is a transitive relation.
rico:precedesInTime,Connects a Thing to a Thing that follows it in chronological order. This is a transitive relation.
rico:precedesOrPreceded,Connects a Thing to a Thing that follows or followed it in some sequence.
rico:proxyFor,Connects a Proxy to the Record Resource it stands for in the specific context of a Record Set.
rico:proxyIn,Connects a Proxy to the Record Set in which it stands for (represents) another Record Resource.
rico:recordResourceGeneticRelation_role,"Connects a RecordResourceGeneticRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:recordResourceHoldingRelation_role,"Connects a RecordResourceHoldingRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:recordResourceToInstantiationRelation_role,"Connects a RecordResourceToInstantiationRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:recordResourceToRecordResourceRelation_role,"Connects a RecordResourceToRecordResourceRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:regulatesOrRegulated,Connects a Rule to a Thing that it regulates or regulated.
rico:relationConnects,Connects an n-ary Relation to any of the Things involved.
rico:relationHasContext,"Connects an n-ary Relation to a Thing that is a secondary, contextual entity during the existence of the Relation."
rico:relationHasSource,Connects an n-ary Relation to a Thing that is its source.
rico:relationHasTarget,Connects an n-ary Relation to a Thing that is its target.
rico:relation_role,"Connects a Relation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:resultedFromTheMergerOf,Inverse of 'was merged into' object property.
rico:resultedFromTheSplitOf,Inverse of 'was split into' object property.
rico:resultsOrResultedFrom,Inverse of 'results or resulted in' object property.
rico:resultsOrResultedIn,Connects an Event to a Thing that results or resulted from the Event.
rico:roleIsContextOfCreationRelation,Connects a Role Type to a Creation Relation (this Role Type being the specific role played by the creating Person in the context of this Relation).
rico:ruleRelation_role,"Connects a RuleRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:sequentialRelation_role,"Connects a SequentialRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:siblingRelation_role,"Connects a SiblingRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:spouseRelation_role,"Connects a SpouseRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:teachingRelation_role,"Connects a TeachingRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:temporalRelation_role,"Connects a TemporalRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:thingIsConnectedToRelation,Connects a Thing to a n-ary Relation.
rico:thingIsContextOfRelation,"Connects a Thing (that is a secondary, contextual entity during the existence of the Relation) to a n-ary Relation."
rico:thingIsSourceOfRelation,Connects a Thing (that is the source of a Relation) to a Relation.
rico:thingIsTargetOfRelation,Connects a Thing (that is the target of a Relation) to a n-ary Relation.
rico:typeRelation_role,"Connects a TypeRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:wasComponentOf,Connects an Instantiation to another Instantiation of which it was a component in the past.
rico:wasConstituentOf,Connects a Record or Record Part to another Record or Record Part of which it was a constituent in the past.
rico:wasContainedBy,Connects a Place to a Place within which it was contained.
rico:wasIncludedIn,Connects a Record to a Record or Record Set in which it was included in the past.
rico:wasLastUpdatedAtDate,Connects a Thing to the Date when it was last modified.
rico:wasMergedInto,Connects a Corporate Body to another Corporate Body that is the result of a merger of the previous one with one to many other corporate bodies.
rico:wasPartOf,Connects a Thing to a Thing of which it was a constitutive or component part in the past.
rico:wasSplitInto,Connects a Corporate Body to one of the Corporate Bodies that results from the split of the previous one into two to many corporate bodies.
rico:wasSubdivisionOf,Connects a subdivision to the Group it was a part of in the past.
rico:wasSubeventOf,Connects a past Event to the broader Event of which it was a part.
rico:wasSubordinateTo,Connects an Agent to an Agent that was hierarchically superior in the past.
rico:wasUsedFromDate,Connects an Appellation to the Date from which it was used.
rico:wasUsedToDate,Connects an Appellation to the Date till when it was used.
rico:wholePartRelation_role,"Connects a WholePartRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
rico:workRelation_role,"Connects a WorkRelation to itself. It is a property that can stand for an instance of the class when necessary, e.g. when you explore a knowledge graph."
